Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Bermuda,32.3333,-64.75,Refugee population by country or territory of origin,SM.POP.REFG.OR,BMU,..,..,..,..,..,..,..,..,1,1,1,1,1,..,..,2,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,27.5,90.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,BTN,..,9504,75442,85334,103271,104750,106822,108703,105689,107619,108945,110845,112523,103978,105255,106537,108073,110598,104965,89070,75070,57989,41590,31567,23642,17720,11732,..
Bosnia and Herzegovina,44.0,18.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,BIH,..,..,437501,618427,776084,769753,993868,849241,640075,598193,504981,447321,406448,300006,228831,109930,199946,78273,74366,70018,63004,58578,51822,26790,21888,18769,18179,..
Botswana,-22.0,24.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,BWA,3,3,3,4,21,25,23,17,16,10,3,2,5,5,6,4,12,16,26,30,53,85,127,168,237,308,265,..
Brazil,-10.0,-55.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,BRA,14,11,11,12,41,53,85,104,136,196,224,254,441,378,403,370,707,1624,1404,973,994,1045,1076,985,977,895,793,..
Brunei Darussalam,4.5,114.6667,Refugee population by country or territory of origin,SM.POP.REFG.OR,BRN,..,..,..,..,..,3,..,..,..,..,..,..,2,1,1,49,2,2,1,1,1,1,1,1,1,..,..,..
Bulgaria,43.0,25.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,BGR,1922,2735,2981,3155,4689,4156,3246,3048,3122,2653,2404,2121,2841,2567,2215,4254,3438,3311,3040,2745,2559,2327,2147,1880,1648,1269,794,..
Burkina Faso,13.0,-2.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,BFA,2,8,61,63,67,63,72,118,103,106,130,98,978,853,583,607,376,558,725,990,1145,1271,1460,1584,1857,2148,2327,..
Burundi,-3.5,30.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,BDI,191622,223946,184135,871382,389706,350582,428680,519123,502568,527449,568084,553999,574557,531637,485773,438706,396541,375727,281592,94239,84064,101288,73363,72647,72493,292764,408036,..
Cambodia,13.0,105.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,KHM,54364,43168,28851,9753,8538,61225,62244,103246,76576,38320,36855,34759,33456,31407,18121,17806,17965,17704,17253,17025,16314,15205,14024,13747,13071,12803,12408,..
Cameroon,6.0,12.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,CMR,100,1,83,173,238,2017,2109,2258,1348,1654,2062,2724,5225,6206,7629,9101,10384,11508,13870,14766,14963,15163,13382,11427,10766,10586,10328,..
Canada,60.0,-95.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,CAN,..,4,4,4,4,4,8,11,15,18,26,4,51,60,56,122,95,530,101,99,90,109,123,99,95,80,76,..
Cayman Islands,19.5,-80.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,6,6,6,6,..
Central African Republic,7.0,21.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,CAF,100,320,325,313,266,242,240,149,173,196,139,28704,25376,35400,31069,42890,71685,98104,125106,159554,164905,162862,164568,252867,412041,471105,490869,..
Chad,15.0,19.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,TCD,184806,72319,66381,212932,211971,59727,58445,55025,61298,58797,54962,46294,47349,52275,52663,48400,36300,55722,55105,55014,53733,42640,39694,48640,48258,14940,14146,..
Chile,-30.0,-71.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,CHL,14548,14007,14043,15267,15474,14273,12805,9776,7011,1543,860,834,1709,1555,1194,938,805,970,994,1312,1170,1189,1152,596,579,561,490,..
China,35.0,105.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,CHN,1426,2011,82576,111509,113907,104693,105810,106738,109402,111952,110975,117409,132115,132406,134724,124101,140598,149095,175180,180558,184602,190369,193453,195133,210802,212912,207733,..
Colombia,4.0,-72.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,COL,494,740,843,1042,1363,1902,2168,2377,3538,4413,9279,17938,30625,37995,47381,60450,72796,551744,373532,389753,395577,395949,394117,396717,360298,340127,311051,..
Comoros,-12.1667,44.25,Refugee population by country or territory of origin,SM.POP.REFG.OR,COM,4,2,2,2,5,10,13,10,33,31,28,26,43,58,50,61,72,96,378,268,368,422,454,513,581,551,557,..
Costa Rica,10.0,-84.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,CRI,..,1,5,5,223,211,139,90,54,76,57,86,98,92,138,178,284,361,354,344,352,331,325,463,417,379,197,..
Croatia,45.1667,15.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,HRV,..,..,168571,151688,76256,245572,310088,349307,338089,353725,335199,290279,274818,230189,215475,119148,93767,100423,97012,76478,65861,62649,62606,49756,40122,33451,26211,..
Cuba,21.5,-80.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,CUB,13523,17615,21273,22406,23316,24854,25462,24913,23559,23328,20084,18959,18043,16093,15659,19000,33580,7503,7938,7549,7477,7856,7731,7460,7502,6833,5925,..
Cyprus,35.0,33.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,CYP,11,..,..,..,6,9,10,8,11,16,11,5,7,5,2,5,5,9,10,11,13,11,11,10,10,4,..,..
Czech Republic,49.75,15.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,CZE,6123,4491,3327,5015,4648,2039,977,698,1934,1243,810,1179,6984,6702,4542,3589,2138,1384,1358,1067,817,763,622,991,1327,1285,1266,..
Denmark,56.0,10.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,DNK,..,..,..,..,11,18,34,33,28,25,25,3,8,10,10,12,12,14,11,10,9,9,9,10,12,9,..,..
Djibouti,11.5,43.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,DJI,5,10,11,38,18068,18095,18101,8142,3219,1879,1910,452,471,522,495,504,486,648,650,622,566,602,640,762,879,1069,1417,..
Dominica,15.4167,-61.3333,Refugee population by country or territory of origin,SM.POP.REFG.OR,DMA,..,..,..,..,..,..,1,1,1,3,2,5,6,17,25,30,49,58,56,53,52,52,54,43,38,38,20,..
Dominican Republic,19.0,-70.6667,Refugee population by country or territory of origin,SM.POP.REFG.OR,DOM,..,..,..,1,29,30,29,47,42,45,47,46,83,92,97,67,150,358,318,230,246,250,289,306,349,382,344,..
Ecuador,-2.0,-77.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,ECU,3,27,40,47,174,206,221,217,512,496,671,653,822,730,727,775,887,1332,1066,1027,852,909,844,707,804,1009,1021,..
El Salvador,13.8333,-88.9167,Refugee population by country or territory of origin,SM.POP.REFG.OR,SLV,30019,33049,30855,26124,30735,23535,19639,17126,12591,12410,7756,7150,6632,5658,4497,4281,6388,6022,5151,5051,4976,6720,8171,9635,10965,14778,19595,..
Equatorial Guinea,2.0,10.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,GNQ,..,60,114,214,342,343,397,473,420,429,509,529,552,591,552,477,461,407,384,344,305,258,228,200,174,154,126,..
Eritrea,15.0,39.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,ERI,43,500633,503200,427213,422433,286712,332225,319077,346781,347138,376851,333229,318176,124121,131131,144066,193745,208748,186398,209168,222460,251954,285371,308236,363092,407449,459390,..
Estonia,59.0,26.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,EST,..,2,59,95,297,351,1310,1266,792,633,455,479,1060,1027,855,743,626,262,248,248,240,224,456,352,339,318,298,..
Ethiopia,8.0,38.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,ETH,1345928,251241,313129,251828,226436,100987,96270,84401,70680,71055,66410,58997,61240,62677,63150,65461,74026,59858,63878,62889,68848,70610,74968,77122,86870,85839,83894,..
Faroe Islands,62.0,-7.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,-18.0,175.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,FJI,1,1,19,89,156,222,305,326,301,328,401,731,1072,1087,1281,1379,1685,1828,1868,1892,1851,1579,1317,1112,924,883,791,..
Finland,64.0,26.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,FIN,..,..,..,..,..,1,1,2,6,6,5,2,9,7,3,5,6,4,4,6,6,7,7,7,7,8,..,..
France,46.0,2.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,FRA,..,..,..,..,20,15,44,61,64,63,78,44,90,110,110,286,82,101,101,87,92,99,100,98,93,94,45,..
French Polynesia,-15.0,-140.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,..,..,..,..,..,..,..,..,..,..,..
Gabon,-1.0,11.75,Refugee population by country or territory of origin,SM.POP.REFG.OR,GAB,..,..,17,18,22,25,24,19,28,26,26,27,37,39,53,81,95,116,129,144,165,173,183,176,172,177,152,..
Georgia,42.0,43.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,GEO,..,..,..,6012,5117,308,48489,47164,35669,29878,21821,17498,16975,12497,6633,7301,6340,11810,12598,15020,10640,10112,9261,6778,6681,6493,6365,..
Germany,51.0,9.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,DEU,..,4,4,8,449,386,420,443,688,1298,1183,1033,928,725,78,78,114,129,166,170,164,174,182,175,176,161,67,..
Ghana,8.0,-2.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,GHA,4691,4701,4776,4473,14289,13592,15095,14775,13633,13293,14775,14556,15686,15879,14767,18433,9960,5063,13242,14893,20203,20361,24298,21078,22145,22978,15507,..
Gibraltar,36.1833,-5.3667,Refugee population by country or territory of origin,SM.POP.REFG.OR,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,1,2,2,2,2,2,2,..,..
Greece,39.0,22.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,GRC,16,6,1,1,94,222,250,178,174,164,125,97,301,270,224,331,91,92,67,62,51,56,51,91,113,112,101,..
Greenland,72.0,-40.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,12.1167,-61.6667,Refugee population by country or territory of origin,SM.POP.REFG.OR,GRD,4,4,1,..,3,6,11,12,20,36,24,53,73,77,99,152,202,297,312,333,345,323,316,330,324,270,100,..
Guam,13.4667,144.7833,Refugee population by country or territory of origin,SM.POP.REFG.OR,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,15.5,-90.25,Refugee population by country or territory of origin,SM.POP.REFG.OR,GTM,47988,52587,53941,50267,49610,42899,40342,37508,32747,28082,20711,16867,13888,6696,4376,3379,6496,6161,5934,5768,5679,6088,6388,6615,7483,10284,12534,..
Guinea,11.0,-10.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,GIN,..,2,19,31,106,441,523,648,924,1151,1497,2019,3418,3871,4782,5820,6840,8278,9495,10920,11985,13161,14061,14561,15252,17005,17526,..
Guinea-Bissau,12.0,-15.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,GNB,5003,5006,5008,5011,5015,830,856,868,8887,3185,886,927,986,975,1018,1050,1004,1028,1065,1109,1127,1123,1180,1223,1307,1471,1635,..
Guyana,5.0,-59.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,GUY,2,1,2,4,71,62,55,38,41,49,36,36,49,78,194,406,537,677,708,727,749,771,801,800,700,511,269,..
Haiti,19.0,-72.4167,Refugee population by country or territory of origin,SM.POP.REFG.OR,HTI,2092,1858,2486,3866,9803,13925,15118,15481,13538,8766,7561,7248,7718,7547,9208,13542,20837,22280,23066,24116,25892,33661,38568,38659,37162,34774,29661,..
Honduras,15.0,-86.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,HND,18,21,41,448,1214,1219,1259,1246,1101,1070,903,781,673,604,484,535,1035,1236,1116,1166,1302,1966,2613,3300,4159,6851,10479,..
Hungary,47.0,20.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,HUN,5767,4733,3993,5016,4471,2348,3083,2669,1242,800,518,953,3517,3395,2749,3519,3118,3386,1614,1537,1438,1238,1087,1220,1267,1443,2904,..
Iceland,65.0,-18.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,ISL,..,..,..,..,..,..,4,5,5,5,5,..,13,12,10,7,31,7,7,4,4,3,3,2,1,..,..,..
India,20.0,77.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,IND,198,408,1019,1492,3263,5011,7550,8924,9663,9845,11399,11571,14349,13706,13345,16285,17811,20466,19569,19514,17769,16232,14258,11041,10436,9881,7243,..
Indonesia,-5.0,120.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,IDN,7169,6164,6829,7924,8726,9836,11365,8799,9053,9020,9149,8970,9906,16240,27919,34384,34728,20558,19345,18213,16892,16079,15523,14786,14408,13956,13046,..
Iraq,33.0,44.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,IRQ,1133805,1321853,1343824,771077,749834,718719,714730,707338,675030,642886,526179,530511,422512,368580,311884,262299,1450905,2309245,1903519,1785212,1683579,1428308,746206,401466,369954,264094,315998,..
Ireland,53.0,-8.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,IRL,..,..,..,..,3,2,2,1,..,..,3,3,7,6,3,21,4,10,7,7,8,8,9,9,10,9,..,..
Isle of Man,54.23,-4.55,Refugee population by country or territory of origin,SM.POP.REFG.OR,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,31.5,34.75,Refugee population by country or territory of origin,SM.POP.REFG.OR,ISR,16,28,40,118,887,937,1126,987,835,478,416,363,564,625,672,632,882,1541,1494,1310,1301,1335,1340,1041,979,802,467,..
Italy,42.8333,12.8333,Refugee population by country or territory of origin,SM.POP.REFG.OR,ITA,..,..,1,3,146,121,112,112,79,52,48,34,224,207,192,217,105,90,62,45,50,58,66,66,67,70,44,..
Jamaica,18.25,-77.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,JAM,..,..,..,3,7,10,18,21,27,33,37,37,147,259,350,489,660,766,826,909,1057,1250,1407,1503,1692,1868,1988,..
Japan,36.0,138.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,JPN,..,..,..,..,7,3,2,2,3,3,5,5,19,19,21,13,168,521,185,150,152,176,172,157,262,145,53,..
Jordan,31.0,36.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,JOR,55,112,183,242,443,513,708,719,899,973,919,775,1287,1162,1169,1789,1604,1787,1890,2129,2254,2250,2368,1632,1718,1841,1889,..
Kazakhstan,48.0,68.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,KAZ,..,..,1,2,27,139,40163,40774,20459,9057,2537,2803,6315,6559,6121,4316,7376,5235,4825,3744,3632,3500,3571,2123,2224,2267,2326,..
Kenya,1.0,38.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,KEN,10,33,63,85,8774,9327,9390,9570,6046,6138,2373,2559,3098,3163,3847,4640,5356,7546,9688,9620,8602,8745,8950,8586,8553,7906,7506,..
Kiribati,1.4167,173.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,KIR,..,..,..,..,..,..,..,..,..,..,..,..,3,16,32,33,41,38,38,33,33,33,33,20,3,2,..,..
Kuwait,29.3375,47.6581,Refugee population by country or territory of origin,SM.POP.REFG.OR,KWT,44,47,74,89,756,762,854,825,830,992,692,701,709,616,398,381,617,746,854,938,988,1120,1197,977,981,1085,1008,..
Latvia,57.0,25.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,LVA,..,..,4,4,93,160,1958,1915,1013,907,491,619,3082,3177,2826,2430,1424,662,763,791,713,709,662,233,213,193,165,..
Lebanon,33.8333,35.8333,Refugee population by country or territory of origin,SM.POP.REFG.OR,LBN,6993,8501,10257,10635,15654,13515,10890,10235,9786,7685,10215,8763,26320,24932,19866,18323,12252,13094,12967,16260,15869,15013,15106,3819,4273,4369,4709,..
Lesotho,-29.5,28.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,LSO,4,4,..,55,..,..,2,3,3,3,4,1,4,6,7,6,9,7,8,10,11,11,13,15,17,17,5,..
Liberia,6.5,-9.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,LBR,735689,673435,520915,704051,797835,744637,784008,493340,365398,294694,266930,244608,275422,353344,335467,231139,160548,91540,75213,71599,70129,66780,23428,17558,13572,9991,6513,..
Liechtenstein,47.1667,9.5333,Refugee population by country or territory of origin,SM.POP.REFG.OR,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,56.0,24.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,LTU,4,4,8,11,63,109,662,649,282,258,163,216,1371,1541,1482,1448,942,466,490,501,515,528,491,220,183,144,64,..
Luxembourg,49.75,6.1667,Refugee population by country or territory of origin,SM.POP.REFG.OR,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,2,2,..,..,..,..,..,1,2,2,..,..
Madagascar,-20.0,47.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MDG,..,1,1,1,3,79,79,76,66,54,54,40,53,88,135,203,260,284,277,274,270,289,301,296,281,286,277,..
Malawi,-13.5,34.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MWI,53,50,50,44,60,37,39,34,28,34,33,25,48,59,94,101,113,97,106,130,171,222,277,326,361,426,407,..
Malaysia,2.5,112.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,MYS,..,3,4,4,82,79,103,87,90,86,82,79,119,239,292,394,584,615,608,532,552,537,531,485,468,439,443,..
Maldives,3.25,73.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MDV,1,1,..,..,..,..,1,1,2,3,4,3,3,1,3,13,17,17,16,16,19,21,24,31,36,42,48,..
Mali,17.0,-4.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MLI,1,14704,71189,98572,172905,77219,55198,18015,3702,387,364,311,531,461,483,520,594,4494,1758,2926,3663,4295,149943,152828,139267,154213,156390,..
Malta,35.8333,14.5833,Refugee population by country or territory of origin,SM.POP.REFG.OR,MLT,1,1,1,..,7,13,18,14,17,22,16,7,8,7,3,5,28,9,9,9,6,6,6,6,5,1,..,..
Marshall Islands,9.0,168.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,3,3,3,..,..
Mauritania,20.0,-12.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MRT,65999,79881,79594,67894,68043,84312,83234,70294,70224,29948,29752,29862,30137,30525,31131,31651,33428,33108,45601,39143,37733,39929,33765,34252,34113,34660,36228,..
Mauritius,-20.2833,57.55,Refugee population by country or territory of origin,SM.POP.REFG.OR,MUS,..,..,..,..,1,13,13,3,15,8,35,35,43,61,19,27,80,71,24,23,28,42,62,81,94,103,101,..
Mexico,23.0,-102.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MEX,..,..,..,..,248,361,520,665,1016,1359,1291,1594,1670,1652,1744,2313,3304,5572,6162,6435,6816,7472,8435,9390,10666,11333,10367,..
Monaco,43.7333,7.4,Refugee population by country or territory of origin,SM.POP.REFG.OR,MCO,..,..,..,..,..,..,1,1,1,1,1,..,1,1,..,..,..,..,..,1,2,4,4,3,3,3,..,..
Mongolia,46.0,105.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MNG,1,1,1,1,4,4,7,9,19,25,23,60,280,324,442,654,868,1101,1333,1495,1724,1985,2114,2059,2163,2199,2267,..
Montenegro,42.0,19.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135,557,1283,2582,3246,3698,4054,546,607,651,708,..
Morocco,32.0,-5.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MAR,15,44,91,105,180,301,297,310,353,377,392,363,1269,1291,1319,2920,4710,4039,3533,2286,2284,2312,2407,1308,1539,1786,2230,..
Mozambique,-18.25,35.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MOZ,1247992,1316636,1445474,1172550,234497,125562,34657,33652,59,35,30,46,130,111,104,104,231,222,208,136,131,155,160,56,58,57,33,..
Myanmar,22.0,98.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,MMR,28,40053,245130,281574,204510,152298,143017,135772,133407,131663,137128,145856,148501,151384,161013,164864,202826,191313,184413,406669,415670,414626,415371,479606,479006,451805,490265,..
Namibia,-22.0,17.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,NAM,532,204,15,133,65,13,12,2,1902,701,2308,2297,1302,1293,1314,1226,1203,1128,985,921,1017,1073,1098,1143,1253,1277,1348,..
Nauru,-0.5333,166.9167,Refugee population by country or territory of origin,SM.POP.REFG.OR,NRU,..,..,..,..,..,..,..,..,..,3,3,..,..,3,..,..,3,3,3,..,..,..,..,..,..,..,..,..
Nepal,28.0,84.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,NPL,..,..,1,1,4,27,44,52,101,186,235,306,902,1231,1416,2065,2647,3364,4189,5108,5889,6854,7612,8110,8563,9063,8350,..
Netherlands,52.5,5.75,Refugee population by country or territory of origin,SM.POP.REFG.OR,NLD,..,..,..,..,75,85,96,77,57,29,15,4,30,44,48,159,39,43,46,44,53,64,71,64,68,69,27,..
New Caledonia,-21.5,165.5,Refugee population by country or territory of origin,SM.POP.REFG.OR,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,-41.0,174.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,NZL,..,..,..,..,..,..,..,..,..,..,..,..,2,1,3,4,8,13,10,10,15,18,20,17,17,19,25,..
Nicaragua,13.0,-85.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,NIC,52618,46789,44275,33052,28591,23938,22820,22494,21389,20573,5071,4399,4050,3983,1822,1463,1828,1900,1537,1478,1431,1468,1531,1538,1587,1476,1409,..
Niger,16.0,8.0,Refugee population by country or territory of origin,SM.POP.REFG.OR,NER,..,2,22008,22307,22024,10291,10361,2788,423,514,493,483,834,728,689,655,818,827,796,822,803,819,832,683,739,1390,1210,..
