Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Djibouti,11.5,43.0,Refugee population by country or territory of asylum,SM.POP.REFG,DJI,77606,96144,28000,34065,33406,27310,25076,23590,23582,23271,23243,23176,21702,27034,18035,10456,9259,6651,9228,12111,15104,20340,19139,20015,20530,19365,17678,..
Dominica,15.4167,-61.3333,Refugee population by country or territory of asylum,SM.POP.REFG,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,19.0,-70.6667,Refugee population by country or territory of asylum,SM.POP.REFG,DOM,1966,1571,510,1331,1252,985,640,638,614,625,510,..,..,..,..,..,..,..,..,..,599,595,758,721,608,615,578,..
Ecuador,-2.0,-77.5,Refugee population by country or territory of asylum,SM.POP.REFG,ECU,510,280,204,238,244,202,211,227,248,314,1602,1715,3240,6381,8450,10063,11789,264907,101398,116557,121249,123436,123824,123209,122161,121535,102848,..
El Salvador,13.8333,-88.9167,Refugee population by country or territory of asylum,SM.POP.REFG,SLV,20300,20099,19903,163,156,154,150,109,33,24,59,69,74,246,235,49,39,39,32,30,38,38,45,44,35,48,36,..
Equatorial Guinea,2.0,10.0,Refugee population by country or territory of asylum,SM.POP.REFG,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,15.0,39.0,Refugee population by country or territory of asylum,SM.POP.REFG,ERI,..,..,..,3,706,1083,2106,2606,2501,2972,1984,2272,3619,3889,4240,4418,4621,5042,4862,4751,4809,4719,3600,3166,2898,2549,2342,..
Estonia,59.0,26.0,Refugee population by country or territory of asylum,SM.POP.REFG,EST,..,..,..,..,..,..,..,..,..,..,4,11,10,12,11,7,5,18,22,24,39,50,63,70,90,168,287,..
Ethiopia,8.0,38.0,Refugee population by country or territory of asylum,SM.POP.REFG,ETH,773764,529620,431824,272631,348074,393479,390528,323067,262160,257689,197959,152554,132940,130274,115980,100817,96980,85183,83583,121886,154295,288844,376393,433936,659524,736086,791616,..
Faroe Islands,62.0,-7.0,Refugee population by country or territory of asylum,SM.POP.REFG,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,-18.0,175.0,Refugee population by country or territory of asylum,SM.POP.REFG,FJI,..,..,..,..,..,9,9,..,..,..,..,..,..,..,..,..,..,..,..,2,1,7,6,5,13,12,7,..
Finland,64.0,26.0,Refugee population by country or territory of asylum,SM.POP.REFG,FIN,2348,4561,5950,8511,9511,10191,11382,12017,12290,12869,13276,12728,12490,10843,11325,11809,11827,6204,6617,7447,8724,9175,9919,11252,11798,12703,18302,..
France,46.0,2.0,Refugee population by country or territory of asylum,SM.POP.REFG,FRA,193000,174756,156512,166269,195288,155245,151329,146558,140215,129722,132508,131601,132182,130838,139852,137316,145996,151789,171206,196364,200687,210207,217865,232487,252264,273126,304507,..
French Polynesia,-15.0,-140.0,Refugee population by country or territory of asylum,SM.POP.REFG,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,-1.0,11.75,Refugee population by country or territory of asylum,SM.POP.REFG,GAB,417,220,272,..,597,791,798,862,1124,15070,17982,15581,13473,14005,13787,8545,8429,8826,9001,8845,9015,1773,1663,1594,1013,943,906,..
Georgia,42.0,43.5,Refugee population by country or territory of asylum,SM.POP.REFG,GEO,..,..,..,..,..,100,95,162,20,5180,7620,7901,4192,3864,2559,2497,1373,1047,996,870,639,462,469,847,857,1979,2107,..
Germany,51.0,9.0,Refugee population by country or territory of asylum,SM.POP.REFG,DEU,816000,821500,1236000,1418000,1354600,1267900,1266000,1049000,949200,975500,906000,903000,980000,960395,876622,700016,605406,578879,582735,593799,594269,571684,589737,187567,216973,316115,669408,..
Ghana,8.0,-2.0,Refugee population by country or territory of asylum,SM.POP.REFG,GHA,8123,8128,12114,150100,113666,83200,35617,22858,14557,13261,12720,11792,33515,43947,42053,53537,44938,34958,18206,13658,13828,13588,16016,18681,18450,17406,11851,..
Gibraltar,36.1833,-5.3667,Refugee population by country or territory of asylum,SM.POP.REFG,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,39.0,22.0,Refugee population by country or territory of asylum,SM.POP.REFG,GRC,8488,8989,8456,7873,7784,4428,5780,5520,6145,6283,6653,6948,2788,2771,2489,2390,2289,2228,2164,1695,1444,1573,2100,3485,10304,24838,46381,..
Greenland,72.0,-40.0,Refugee population by country or territory of asylum,SM.POP.REFG,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,12.1167,-61.6667,Refugee population by country or territory of asylum,SM.POP.REFG,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,1,..,..
Guam,13.4667,144.7833,Refugee population by country or territory of asylum,SM.POP.REFG,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,15.5,-90.25,Refugee population by country or territory of asylum,SM.POP.REFG,GTM,223377,223236,222929,4689,4672,1496,1564,1508,815,732,720,729,733,715,656,391,382,379,130,131,138,147,159,160,164,226,295,..
Guinea,11.0,-10.0,Refugee population by country or territory of asylum,SM.POP.REFG,GIN,325000,547960,478491,577158,553244,672298,663854,435300,482467,501544,427206,178444,182163,184341,139252,63525,31468,25226,21488,15325,14113,16609,10371,8560,8766,8839,5057,..
Guinea-Bissau,12.0,-15.0,Refugee population by country or territory of asylum,SM.POP.REFG,GNB,3004,4631,12163,20735,23909,15350,15401,15982,6604,7120,7587,7332,7639,7551,7536,7616,7804,7860,7884,7898,7679,7800,7784,8535,8684,8684,9259,..
Guyana,5.0,-59.0,Refugee population by country or territory of asylum,SM.POP.REFG,GUY,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,11,11,11,7,..
Haiti,19.0,-72.4167,Refugee population by country or territory of asylum,SM.POP.REFG,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,3,3,..,..,..,..,3,3,..,..
Honduras,15.0,-86.5,Refugee population by country or territory of asylum,SM.POP.REFG,HND,237100,101961,100348,65,104,63,63,9,9,9,12,20,29,23,23,22,22,22,24,19,14,17,16,16,26,30,11,..
Hungary,47.0,20.0,Refugee population by country or territory of asylum,SM.POP.REFG,HUN,45123,73838,32412,3023,2906,11394,7537,5890,3504,4990,5064,4710,6088,7023,7708,8046,8075,8131,7750,6044,5414,5106,4054,2440,2867,4393,4691,..
Iceland,65.0,-18.0,Refugee population by country or territory of asylum,SM.POP.REFG,ISL,85,141,154,160,160,197,232,260,294,254,244,213,207,239,239,293,267,49,49,62,83,58,60,79,99,179,125,..
India,20.0,77.0,Refugee population by country or territory of asylum,SM.POP.REFG,IND,212743,210569,258372,262798,258341,227480,233370,223073,185516,180031,170941,169549,168855,164757,162687,139283,158366,161537,184543,185323,184821,185118,185656,188395,199937,201381,197823,..
Indonesia,-5.0,120.0,Refugee population by country or territory of asylum,SM.POP.REFG,IDN,3278,3156,3530,2402,97,19,61,34,47,162506,122618,73551,28596,233,169,89,301,315,369,798,811,1006,1819,3206,4270,5957,7819,..
Iraq,33.0,44.0,Refugee population by country or territory of asylum,SM.POP.REFG,IRQ,900,87990,115000,109066,119581,116722,112957,104032,104022,128913,127787,128142,134190,46721,46053,50177,44406,42354,39503,35218,34655,35189,98822,246298,271143,277701,261882,..
Ireland,53.0,-8.0,Refugee population by country or territory of asylum,SM.POP.REFG,IRL,360,300,500,119,400,400,69,430,600,2835,2543,3598,5380,5971,6542,7113,7917,9333,9730,9571,9107,8248,6327,6001,5853,6125,5655,..
Isle of Man,54.23,-4.55,Refugee population by country or territory of asylum,SM.POP.REFG,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,31.5,34.75,Refugee population by country or territory of asylum,SM.POP.REFG,ISR,..,..,..,..,..,..,..,..,27,128,4075,4168,4179,4179,574,609,837,1156,9137,17736,25471,41235,48505,48201,39716,32946,32909,..
Italy,42.8333,12.8333,Refugee population by country or territory of asylum,SM.POP.REFG,ITA,10840,9813,9258,50276,73060,74302,64711,66620,5473,6024,6849,8571,10060,12841,15674,20675,26875,38068,47061,54965,56397,58060,64779,76264,93715,118047,147302,..
Jamaica,18.25,-77.5,Refugee population by country or territory of asylum,SM.POP.REFG,JAM,..,4,90,63,41,23,25,33,37,37,38,..,..,..,..,..,..,..,..,26,21,20,20,21,22,12,8,..
Japan,36.0,138.0,Refugee population by country or territory of asylum,SM.POP.REFG,JPN,6819,6397,6669,6495,5942,5435,5278,4851,4492,4235,3752,3200,2657,2266,1967,1941,1844,1794,2019,2332,2586,2649,2581,2584,2560,2474,2512,..
Jordan,31.0,36.0,Refugee population by country or territory of asylum,SM.POP.REFG,JOR,929737,1001357,1073007,1145025,1216957,1288895,1359580,1438104,1488226,1542417,1610638,1663294,1699470,1741366,1777769,1828842,2358591,2403771,2452016,2434489,2450381,2430589,2337348,2712888,2771502,2808351,2860669,..
Kazakhstan,48.0,68.0,Refugee population by country or territory of asylum,SM.POP.REFG,KAZ,..,..,..,5000,5030,15561,15577,15577,8338,14795,20574,19531,20610,15831,15844,7265,4412,4285,4352,4340,4406,616,564,584,633,708,647,..
Kenya,1.0,38.0,Refugee population by country or territory of asylum,SM.POP.REFG,KEN,14249,120163,402194,301595,252423,234665,223640,232097,238187,223696,206106,239221,233671,237512,239835,251271,272531,265729,320605,358928,402905,566487,564933,534938,551352,553912,451077,..
Kiribati,1.4167,173.0,Refugee population by country or territory of asylum,SM.POP.REFG,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,29.3375,47.6581,Refugee population by country or territory of asylum,SM.POP.REFG,KWT,..,45590,44879,30000,30020,3306,3831,3787,4182,4334,2776,1255,1521,1518,1519,1523,50,38159,38238,221,184,335,674,635,614,741,930,..
Latvia,57.0,25.0,Refugee population by country or territory of asylum,SM.POP.REFG,LVA,..,..,..,..,..,..,..,..,2,6,7,8,7,17,11,11,21,29,32,43,68,95,125,160,183,208,325,..
Lebanon,33.8333,35.8333,Refugee population by country or territory of asylum,SM.POP.REFG,LBN,304599,316095,325707,329705,338700,348031,355076,365160,371294,377612,382744,387733,392053,397054,400905,405248,428602,464299,472607,476053,463436,445144,575483,1303874,1606709,1529223,1476618,..
Lesotho,-29.5,28.5,Refugee population by country or territory of asylum,SM.POP.REFG,LSO,214,220,117,60,58,..,..,..,..,1,..,39,..,..,..,..,..,..,..,..,..,34,34,30,44,31,36,..
Liberia,6.5,-9.5,Refugee population by country or territory of asylum,SM.POP.REFG,LBR,..,..,100048,150153,120163,120080,120061,126886,96317,96317,69315,54760,64956,33997,15172,10168,16185,10466,10224,6952,24743,128293,65909,53253,38595,36505,18973,..
Liechtenstein,47.1667,9.5333,Refugee population by country or territory of asylum,SM.POP.REFG,LIE,..,..,..,..,..,..,..,..,..,..,70,141,128,149,149,150,277,283,89,91,92,94,102,97,103,150,156,..
Lithuania,56.0,24.0,Refugee population by country or territory of asylum,SM.POP.REFG,LTU,..,..,..,..,..,..,..,6,34,44,55,287,368,403,470,531,531,688,751,793,803,821,871,916,1007,1093,1064,..
Luxembourg,49.75,6.1667,Refugee population by country or territory of asylum,SM.POP.REFG,LUX,687,692,2208,225,300,700,700,700,700,700,759,1201,1201,1201,1590,1822,2206,2737,3109,3230,3254,2855,2910,920,1108,1332,1995,..
Madagascar,-20.0,47.0,Refugee population by country or territory of asylum,SM.POP.REFG,MDG,..,..,..,..,73,..,..,..,..,28,50,34,..,..,..,..,..,..,..,..,..,9,9,12,11,10,22,..
Malawi,-13.5,34.0,Refugee population by country or territory of asylum,SM.POP.REFG,MWI,926725,981812,1058498,713607,90242,1018,1268,280,1245,1700,3900,6200,2166,3202,3682,4240,3943,2929,4175,5443,5740,6308,6544,5796,5874,9019,9386,..
Malaysia,2.5,112.5,Refugee population by country or territory of asylum,SM.POP.REFG,MYS,14862,13947,11399,154,5308,5278,5309,5285,50614,50517,50487,50466,50612,7424,24905,33693,37170,32658,36671,66137,81516,86680,90185,97513,99381,94166,92209,..
Maldives,3.25,73.0,Refugee population by country or territory of asylum,SM.POP.REFG,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mali,17.0,-4.0,Refugee population by country or territory of asylum,SM.POP.REFG,MLI,13411,13120,13109,15224,15800,17916,18234,12552,13598,8302,8412,8439,9095,10009,11256,11233,10585,9203,9578,13538,13558,15624,13928,14316,15195,15917,17510,..
Malta,35.8333,14.5833,Refugee population by country or territory of asylum,SM.POP.REFG,MLT,..,..,..,505,429,416,367,343,296,271,190,176,307,895,1558,1939,2404,3000,4332,5955,6136,6952,8248,9906,6095,7075,7901,..
Marshall Islands,9.0,168.0,Refugee population by country or territory of asylum,SM.POP.REFG,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,20.0,-12.0,Refugee population by country or territory of asylum,SM.POP.REFG,MRT,60000,35200,37500,51548,82229,34394,15880,7511,26,223,350,365,405,475,473,632,770,30471,27041,26795,26717,26535,80496,92767,75635,77394,74117,..
Mauritius,-20.2833,57.55,Refugee population by country or territory of asylum,SM.POP.REFG,MUS,..,..,..,..,..,..,..,..,..,43,..,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mexico,23.0,-102.0,Refugee population by country or territory of asylum,SM.POP.REFG,MEX,356400,360170,360991,52477,47363,38717,34569,31908,28251,24511,18451,15455,12962,6075,4343,3229,3319,1616,1055,1235,1395,1677,1520,1831,1837,2923,6153,..
Monaco,43.7333,7.4,Refugee population by country or territory of asylum,SM.POP.REFG,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37,37,34,33,32,32,..
Mongolia,46.0,105.0,Refugee population by country or territory of asylum,SM.POP.REFG,MNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,5,11,11,12,1,4,9,6,9,..,..
Montenegro,42.0,19.0,Refugee population by country or territory of asylum,SM.POP.REFG,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6926,8528,24741,24019,16364,12874,11198,8476,6462,1771,970,..
Morocco,32.0,-5.0,Refugee population by country or territory of asylum,SM.POP.REFG,MAR,311,322,319,336,336,55,51,57,901,901,2105,2091,2127,2121,2121,219,503,786,766,773,792,736,744,1470,1216,3908,4737,..
Mozambique,-18.25,35.0,Refugee population by country or territory of asylum,SM.POP.REFG,MOZ,420,420,299,202,322,128,198,72,52,220,207,207,207,311,623,1954,2558,2767,3163,3547,4077,4079,4398,4445,4536,5622,4663,..
Myanmar,22.0,98.0,Refugee population by country or territory of asylum,SM.POP.REFG,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Namibia,-22.0,17.0,Refugee population by country or territory of asylum,SM.POP.REFG,NAM,..,136,171,585,1144,1682,2204,2511,3820,7612,27263,30885,21651,19800,14773,5307,5462,6525,6799,7163,7254,6049,1806,2332,1767,1737,1747,..
Nauru,-0.5333,166.9167,Refugee population by country or territory of asylum,SM.POP.REFG,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,389,506,488,..
Nepal,28.0,84.0,Refugee population by country or territory of asylum,SM.POP.REFG,NPL,17800,28319,95251,105342,123271,124754,126815,129157,126101,127940,129237,130945,132436,123667,124928,126436,128175,130681,124832,108461,89808,72654,56264,46305,38490,32667,25244,..
Netherlands,52.5,5.75,Refugee population by country or territory of asylum,SM.POP.REFG,NLD,17337,19020,29739,43538,62163,79960,102588,118071,131490,138646,146180,151928,148362,140886,126805,118189,100574,86587,77600,76008,74961,74598,71909,74707,82494,88536,101702,..
New Caledonia,-21.5,165.5,Refugee population by country or territory of asylum,SM.POP.REFG,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,-41.0,174.0,Refugee population by country or territory of asylum,SM.POP.REFG,NZL,4666,16760,17310,3942,3668,3758,3788,3646,4097,4800,4923,5264,5757,5807,5350,5307,4906,2740,2716,3289,2307,1934,1517,1403,1349,1337,1348,..
