Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Refugee population by country or territory of asylum,SM.POP.REFG,Azerbaijan,AZE,..,..,246000,228840,231635,233682,233692,233715,221635,221643,287,367,458,326,8606,3004,2618,2352,2061,1642,1891,1730,1468,1380,1299,1278,1183,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Bahamas, The",BHS,..,..,374,59,..,8,48,60,80,100,100,..,..,..,..,..,..,..,..,..,28,28,37,15,13,8,9,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bahrain,BHR,1780,..,..,..,..,..,..,..,..,1,1,1,..,..,..,..,1,..,48,139,165,199,289,294,311,247,270,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bangladesh,BGD,145,40260,245154,198954,116228,51118,30692,21603,22277,22210,21627,22173,22025,19792,20449,21098,26311,27573,28389,228586,229253,229669,230697,231145,232472,231958,276198,..
Refugee population by country or territory of asylum,SM.POP.REFG,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Belarus,BLR,..,..,..,..,1822,28988,30525,50,75,260,458,584,618,638,725,725,690,649,609,580,589,595,576,604,925,1809,1632,..
Refugee population by country or territory of asylum,SM.POP.REFG,Belgium,BEL,25911,24071,24292,24908,19497,31691,36060,36060,15509,16760,18832,12265,12578,12595,13529,15282,16820,17575,17026,15545,17892,22402,22024,25629,29179,35314,42128,..
Refugee population by country or territory of asylum,SM.POP.REFG,Belize,BLZ,30657,29969,20351,8912,8857,8750,8534,8387,3483,2891,1250,1129,1049,861,732,624,488,358,277,230,134,78,28,21,10,35,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Benin,BEN,456,456,293,156241,70406,23843,5960,2918,2903,3657,4296,4799,5021,5034,4802,30294,10797,7621,6933,7205,7139,7217,4966,194,415,530,799,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bolivia,BOL,200,341,491,669,734,681,698,333,349,350,351,347,350,527,524,535,567,632,664,679,695,716,733,748,763,775,761,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,40000,40000,65645,38152,32745,28022,22517,22215,10568,10318,7367,7257,7132,7016,6933,6903,6926,6890,6798,5256,..
Refugee population by country or territory of asylum,SM.POP.REFG,Botswana,BWA,1179,1054,497,514,503,266,214,281,2137,1296,3551,3581,2805,2838,2839,3109,3160,2465,3019,3022,2986,3312,2785,2773,2645,2130,2080,..
Refugee population by country or territory of asylum,SM.POP.REFG,Brazil,BRA,5335,5389,5439,6198,2223,2050,2212,2260,2347,2378,2722,2884,3182,3193,3345,3458,3492,20783,3852,4232,4357,4477,4689,5196,7490,8707,9634,..
Refugee population by country or territory of asylum,SM.POP.REFG,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,2,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bulgaria,BGR,..,..,218,450,1060,1320,1430,390,240,547,1474,3004,3658,4068,4684,4413,4504,4836,5129,5393,5530,5688,2288,4320,11046,16557,17774,..
Refugee population by country or territory of asylum,SM.POP.REFG,Burkina Faso,BFA,350,320,5670,6604,49990,29777,28381,1801,564,675,696,457,457,466,492,511,511,535,557,543,531,546,39306,29234,31894,34017,32546,..
Refugee population by country or territory of asylum,SM.POP.REFG,Burundi,BDI,268403,270136,271745,271883,300302,173017,20733,22028,25093,22109,27136,27896,40533,40971,48808,20681,13176,24483,21093,24967,29365,35659,41813,45490,52936,53363,57462,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cabo Verde,CPV,..,3,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cambodia,KHM,..,..,..,5,10,15,16,14,21,21,34,50,200,76,382,127,99,179,164,135,129,64,77,68,63,76,61,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cameroon,CMR,49876,45237,42233,44013,44036,45781,46407,47057,47826,49227,43680,41186,58288,58583,58861,52042,35083,60137,81037,99957,104275,100373,98969,114753,264126,342973,375393,..
Refugee population by country or territory of asylum,SM.POP.REFG,Canada,CAN,154761,170916,183723,183241,186563,152125,138435,125184,119371,123316,126991,129224,129950,133094,141398,147171,151827,175741,173651,169434,165549,164883,163756,160349,149163,135888,97311,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,3,3,6,6,12,13,..
Refugee population by country or territory of asylum,SM.POP.REFG,Central African Republic,CAF,4284,12223,19040,44129,47791,33856,36564,38499,43013,49314,55661,49239,50725,44753,25020,24569,12357,7535,7429,27047,21574,16730,14014,14322,7694,7330,12107,..
Refugee population by country or territory of asylum,SM.POP.REFG,Chad,TCD,..,..,70,70,109,100,100,302,8810,23478,17692,12950,33455,146400,259880,275412,286743,294017,330510,338495,347939,366494,373695,434479,452897,369540,391235,..
Refugee population by country or territory of asylum,SM.POP.REFG,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Chile,CHL,58,72,142,239,217,283,313,276,305,323,364,389,413,466,569,806,1134,1376,1613,1539,1621,1674,1695,1743,1773,1849,1716,..
Refugee population by country or territory of asylum,SM.POP.REFG,China,CHN,287276,289061,288123,287423,287066,288309,290100,291507,292345,293299,294110,295325,297277,299354,299375,301041,301027,301078,300967,300989,300986,301018,301037,301047,301052,301052,317239,..
Refugee population by country or territory of asylum,SM.POP.REFG,Colombia,COL,460,450,478,298,316,218,220,223,226,230,239,210,205,186,141,155,143,168,170,196,212,219,219,224,213,226,221,..
Refugee population by country or territory of asylum,SM.POP.REFG,Comoros,COM,..,..,..,..,..,..,..,..,..,9,11,13,..,..,..,1,1,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Congo, Dem. Rep.",COD,416435,482959,391127,572070,1724365,1433760,675973,297538,240214,285270,332509,362012,332978,234033,199323,204341,208371,177390,155162,185809,166336,152749,65109,113362,119754,383095,451947,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Congo, Rep.",COG,2990,3395,3385,13646,15522,19404,20451,20697,27174,39870,123190,119147,109201,91362,68536,66075,55788,38472,24779,111411,133112,141232,98455,51037,54842,44955,46439,..
Refugee population by country or territory of asylum,SM.POP.REFG,Costa Rica,CRI,276210,117492,114392,24834,24630,24226,23176,23114,22986,22903,5519,8104,12433,13508,10413,11253,11515,17190,18136,19116,19505,20057,20449,20569,20744,3616,4152,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cote d'Ivoire,CIV,272281,230290,174076,251588,360112,297908,327696,208502,151182,138429,120691,126239,44749,75971,72088,41627,27288,24647,24811,24604,26218,24221,3980,2980,1925,1980,1377,..
Refugee population by country or territory of asylum,SM.POP.REFG,Croatia,HRV,..,..,403000,287000,183600,198647,165395,68863,29027,28374,22437,21875,8392,4387,3663,2927,2443,1642,1597,1238,936,824,724,684,726,522,255,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cuba,CUB,3988,..,5092,3606,2002,1829,1694,1280,1067,967,954,1036,1005,836,795,706,667,615,525,454,411,384,371,384,280,303,312,..
Refugee population by country or territory of asylum,SM.POP.REFG,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,6,14,15,37,48,48,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cyprus,CYP,33,60,80,82,66,55,49,43,84,117,76,83,173,349,531,701,924,1194,1465,2888,3394,3503,3631,3883,5126,7067,8433,..
Refugee population by country or territory of asylum,SM.POP.REFG,Czech Republic,CZE,..,691,9399,188,1186,2655,2266,1731,1805,1232,1186,1216,1297,1516,1144,1802,1887,2037,2110,2323,2449,2449,2805,2979,3137,3644,3580,..
Refugee population by country or territory of asylum,SM.POP.REFG,Denmark,DNK,32906,36110,39118,44564,49558,64844,66373,68122,69015,69006,71035,73284,73597,69858,65310,44374,36659,26788,23401,20355,17922,13399,11814,13170,17785,27326,33436,..
Refugee population by country or territory of asylum,SM.POP.REFG,Djibouti,DJI,77606,96144,28000,34065,33406,27310,25076,23590,23582,23271,23243,23176,21702,27034,18035,10456,9259,6651,9228,12111,15104,20340,19139,20015,20530,19365,17678,..
Refugee population by country or territory of asylum,SM.POP.REFG,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Dominican Republic,DOM,1966,1571,510,1331,1252,985,640,638,614,625,510,..,..,..,..,..,..,..,..,..,599,595,758,721,608,615,578,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ecuador,ECU,510,280,204,238,244,202,211,227,248,314,1602,1715,3240,6381,8450,10063,11789,264907,101398,116557,121249,123436,123824,123209,122161,121535,102848,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Egypt, Arab Rep.",EGY,1991,2245,5509,6712,7223,5407,6035,6493,6276,6553,6840,7230,80494,88749,90343,88946,88022,97556,97861,94406,95056,95087,109933,230086,236090,212500,213500,..
Refugee population by country or territory of asylum,SM.POP.REFG,El Salvador,SLV,20300,20099,19903,163,156,154,150,109,33,24,59,69,74,246,235,49,39,39,32,30,38,38,45,44,35,48,36,..
Refugee population by country or territory of asylum,SM.POP.REFG,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Eritrea,ERI,..,..,..,3,706,1083,2106,2606,2501,2972,1984,2272,3619,3889,4240,4418,4621,5042,4862,4751,4809,4719,3600,3166,2898,2549,2342,..
Refugee population by country or territory of asylum,SM.POP.REFG,Estonia,EST,..,..,..,..,..,..,..,..,..,..,4,11,10,12,11,7,5,18,22,24,39,50,63,70,90,168,287,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ethiopia,ETH,773764,529620,431824,272631,348074,393479,390528,323067,262160,257689,197959,152554,132940,130274,115980,100817,96980,85183,83583,121886,154295,288844,376393,433936,659524,736086,791616,..
Refugee population by country or territory of asylum,SM.POP.REFG,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Fiji,FJI,..,..,..,..,..,9,9,..,..,..,..,..,..,..,..,..,..,..,..,2,1,7,6,5,13,12,7,..
Refugee population by country or territory of asylum,SM.POP.REFG,Finland,FIN,2348,4561,5950,8511,9511,10191,11382,12017,12290,12869,13276,12728,12490,10843,11325,11809,11827,6204,6617,7447,8724,9175,9919,11252,11798,12703,18302,..
Refugee population by country or territory of asylum,SM.POP.REFG,France,FRA,193000,174756,156512,166269,195288,155245,151329,146558,140215,129722,132508,131601,132182,130838,139852,137316,145996,151789,171206,196364,200687,210207,217865,232487,252264,273126,304507,..
Refugee population by country or territory of asylum,SM.POP.REFG,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Gabon,GAB,417,220,272,..,597,791,798,862,1124,15070,17982,15581,13473,14005,13787,8545,8429,8826,9001,8845,9015,1773,1663,1594,1013,943,906,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Gambia, The",GMB,78,241,3632,2190,2206,6599,6924,7279,10320,17219,12016,8133,12120,7465,7343,7330,13761,14895,14836,10118,8378,9528,9853,9563,11608,7854,7936,..
Refugee population by country or territory of asylum,SM.POP.REFG,Georgia,GEO,..,..,..,..,..,100,95,162,20,5180,7620,7901,4192,3864,2559,2497,1373,1047,996,870,639,462,469,847,857,1979,2107,..
Refugee population by country or territory of asylum,SM.POP.REFG,Germany,DEU,816000,821500,1236000,1418000,1354600,1267900,1266000,1049000,949200,975500,906000,903000,980000,960395,876622,700016,605406,578879,582735,593799,594269,571684,589737,187567,216973,316115,669408,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ghana,GHA,8123,8128,12114,150100,113666,83200,35617,22858,14557,13261,12720,11792,33515,43947,42053,53537,44938,34958,18206,13658,13828,13588,16016,18681,18450,17406,11851,..
Refugee population by country or territory of asylum,SM.POP.REFG,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Greece,GRC,8488,8989,8456,7873,7784,4428,5780,5520,6145,6283,6653,6948,2788,2771,2489,2390,2289,2228,2164,1695,1444,1573,2100,3485,10304,24838,46381,..
Refugee population by country or territory of asylum,SM.POP.REFG,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,1,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Guatemala,GTM,223377,223236,222929,4689,4672,1496,1564,1508,815,732,720,729,733,715,656,391,382,379,130,131,138,147,159,160,164,226,295,..
Refugee population by country or territory of asylum,SM.POP.REFG,Guinea,GIN,325000,547960,478491,577158,553244,672298,663854,435300,482467,501544,427206,178444,182163,184341,139252,63525,31468,25226,21488,15325,14113,16609,10371,8560,8766,8839,5057,..
Refugee population by country or territory of asylum,SM.POP.REFG,Guinea-Bissau,GNB,3004,4631,12163,20735,23909,15350,15401,15982,6604,7120,7587,7332,7639,7551,7536,7616,7804,7860,7884,7898,7679,7800,7784,8535,8684,8684,9259,..
Refugee population by country or territory of asylum,SM.POP.REFG,Guyana,GUY,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,11,11,11,7,..
Refugee population by country or territory of asylum,SM.POP.REFG,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,3,3,..,..,..,..,3,3,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Honduras,HND,237100,101961,100348,65,104,63,63,9,9,9,12,20,29,23,23,22,22,22,24,19,14,17,16,16,26,30,11,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Hong Kong SAR, China",HKG,8161,4414,2605,1848,1700,1481,1348,1229,1039,974,983,1390,1496,1902,1868,1934,1940,97,103,86,154,152,117,126,170,133,86,..
Refugee population by country or territory of asylum,SM.POP.REFG,Hungary,HUN,45123,73838,32412,3023,2906,11394,7537,5890,3504,4990,5064,4710,6088,7023,7708,8046,8075,8131,7750,6044,5414,5106,4054,2440,2867,4393,4691,..
Refugee population by country or territory of asylum,SM.POP.REFG,Iceland,ISL,85,141,154,160,160,197,232,260,294,254,244,213,207,239,239,293,267,49,49,62,83,58,60,79,99,179,125,..
Refugee population by country or territory of asylum,SM.POP.REFG,India,IND,212743,210569,258372,262798,258341,227480,233370,223073,185516,180031,170941,169549,168855,164757,162687,139283,158366,161537,184543,185323,184821,185118,185656,188395,199937,201381,197823,..
Refugee population by country or territory of asylum,SM.POP.REFG,Indonesia,IDN,3278,3156,3530,2402,97,19,61,34,47,162506,122618,73551,28596,233,169,89,301,315,369,798,811,1006,1819,3206,4270,5957,7819,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Iran, Islamic Rep.",IRN,4174401,4404995,4150723,2495038,2236350,2071988,2030359,1982553,1931332,1835688,1868000,1868000,1306599,984896,1045976,974302,968370,963546,980109,1070488,1073366,886468,868242,857354,982027,979437,979435,..
Refugee population by country or territory of asylum,SM.POP.REFG,Iraq,IRQ,900,87990,115000,109066,119581,116722,112957,104032,104022,128913,127787,128142,134190,46721,46053,50177,44406,42354,39503,35218,34655,35189,98822,246298,271143,277701,261882,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ireland,IRL,360,300,500,119,400,400,69,430,600,2835,2543,3598,5380,5971,6542,7113,7917,9333,9730,9571,9107,8248,6327,6001,5853,6125,5655,..
Refugee population by country or territory of asylum,SM.POP.REFG,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Israel,ISR,..,..,..,..,..,..,..,..,27,128,4075,4168,4179,4179,574,609,837,1156,9137,17736,25471,41235,48505,48201,39716,32946,32909,..
Refugee population by country or territory of asylum,SM.POP.REFG,Italy,ITA,10840,9813,9258,50276,73060,74302,64711,66620,5473,6024,6849,8571,10060,12841,15674,20675,26875,38068,47061,54965,56397,58060,64779,76264,93715,118047,147302,..
Refugee population by country or territory of asylum,SM.POP.REFG,Jamaica,JAM,..,4,90,63,41,23,25,33,37,37,38,..,..,..,..,..,..,..,..,26,21,20,20,21,22,12,8,..
Refugee population by country or territory of asylum,SM.POP.REFG,Japan,JPN,6819,6397,6669,6495,5942,5435,5278,4851,4492,4235,3752,3200,2657,2266,1967,1941,1844,1794,2019,2332,2586,2649,2581,2584,2560,2474,2512,..
Refugee population by country or territory of asylum,SM.POP.REFG,Jordan,JOR,929737,1001357,1073007,1145025,1216957,1288895,1359580,1438104,1488226,1542417,1610638,1663294,1699470,1741366,1777769,1828842,2358591,2403771,2452016,2434489,2450381,2430589,2337348,2712888,2771502,2808351,2860669,..
Refugee population by country or territory of asylum,SM.POP.REFG,Kazakhstan,KAZ,..,..,..,5000,5030,15561,15577,15577,8338,14795,20574,19531,20610,15831,15844,7265,4412,4285,4352,4340,4406,616,564,584,633,708,647,..
Refugee population by country or territory of asylum,SM.POP.REFG,Kenya,KEN,14249,120163,402194,301595,252423,234665,223640,232097,238187,223696,206106,239221,233671,237512,239835,251271,272531,265729,320605,358928,402905,566487,564933,534938,551352,553912,451077,..
Refugee population by country or territory of asylum,SM.POP.REFG,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Korea, Rep.",KOR,230,162,149,..,..,5,6,3,1,7,6,7,17,25,44,69,96,118,172,268,358,401,487,548,1173,1463,1773,..
Refugee population by country or territory of asylum,SM.POP.REFG,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Kuwait,KWT,..,45590,44879,30000,30020,3306,3831,3787,4182,4334,2776,1255,1521,1518,1519,1523,50,38159,38238,221,184,335,674,635,614,741,930,..
Refugee population by country or territory of asylum,SM.POP.REFG,Kyrgyz Republic,KGZ,..,..,..,21242,21239,13407,16707,15276,14560,10849,10609,9296,7708,5591,3753,2598,366,723,375,423,2458,6095,4941,466,482,354,334,..
Refugee population by country or territory of asylum,SM.POP.REFG,Lao PDR,LAO,..,..,..,..,..,..,..,..,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Latvia,LVA,..,..,..,..,..,..,..,..,2,6,7,8,7,17,11,11,21,29,32,43,68,95,125,160,183,208,325,..
Refugee population by country or territory of asylum,SM.POP.REFG,Lebanon,LBN,304599,316095,325707,329705,338700,348031,355076,365160,371294,377612,382744,387733,392053,397054,400905,405248,428602,464299,472607,476053,463436,445144,575483,1303874,1606709,1529223,1476618,..
Refugee population by country or territory of asylum,SM.POP.REFG,Lesotho,LSO,214,220,117,60,58,..,..,..,..,1,..,39,..,..,..,..,..,..,..,..,..,34,34,30,44,31,36,..
Refugee population by country or territory of asylum,SM.POP.REFG,Liberia,LBR,..,..,100048,150153,120163,120080,120061,126886,96317,96317,69315,54760,64956,33997,15172,10168,16185,10466,10224,6952,24743,128293,65909,53253,38595,36505,18973,..
Refugee population by country or territory of asylum,SM.POP.REFG,Libya,LBY,..,..,..,1185,1999,3973,7747,8481,10558,10535,11543,11664,11666,11897,12166,12166,2760,4098,6713,9005,7923,10130,7065,25561,27964,9305,9301,..
Refugee population by country or territory of asylum,SM.POP.REFG,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,70,141,128,149,149,150,277,283,89,91,92,94,102,97,103,150,156,..
Refugee population by country or territory of asylum,SM.POP.REFG,Lithuania,LTU,..,..,..,..,..,..,..,6,34,44,55,287,368,403,470,531,531,688,751,793,803,821,871,916,1007,1093,1064,..
Refugee population by country or territory of asylum,SM.POP.REFG,Luxembourg,LUX,687,692,2208,225,300,700,700,700,700,700,759,1201,1201,1201,1590,1822,2206,2737,3109,3230,3254,2855,2910,920,1108,1332,1995,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Macao SAR, China",MAC,205,116,15,10,9,8,..,..,..,..,..,..,..,..,..,..,..,..,..,6,..,1,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Macedonia, FYR",MKD,..,..,32000,31452,14891,9048,5089,3500,1700,21200,9050,4363,2816,193,1004,1274,1240,1235,1672,1542,1398,1130,1077,982,883,701,629,..
Refugee population by country or territory of asylum,SM.POP.REFG,Madagascar,MDG,..,..,..,..,73,..,..,..,..,28,50,34,..,..,..,..,..,..,..,..,..,9,9,12,11,10,22,..
Refugee population by country or territory of asylum,SM.POP.REFG,Malawi,MWI,926725,981812,1058498,713607,90242,1018,1268,280,1245,1700,3900,6200,2166,3202,3682,4240,3943,2929,4175,5443,5740,6308,6544,5796,5874,9019,9386,..
Refugee population by country or territory of asylum,SM.POP.REFG,Malaysia,MYS,14862,13947,11399,154,5308,5278,5309,5285,50614,50517,50487,50466,50612,7424,24905,33693,37170,32658,36671,66137,81516,86680,90185,97513,99381,94166,92209,..
Refugee population by country or territory of asylum,SM.POP.REFG,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mali,MLI,13411,13120,13109,15224,15800,17916,18234,12552,13598,8302,8412,8439,9095,10009,11256,11233,10585,9203,9578,13538,13558,15624,13928,14316,15195,15917,17510,..
Refugee population by country or territory of asylum,SM.POP.REFG,Malta,MLT,..,..,..,505,429,416,367,343,296,271,190,176,307,895,1558,1939,2404,3000,4332,5955,6136,6952,8248,9906,6095,7075,7901,..
Refugee population by country or territory of asylum,SM.POP.REFG,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mauritania,MRT,60000,35200,37500,51548,82229,34394,15880,7511,26,223,350,365,405,475,473,632,770,30471,27041,26795,26717,26535,80496,92767,75635,77394,74117,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mauritius,MUS,..,..,..,..,..,..,..,..,..,43,..,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
